Coarse-Grained Algorithm:

Number of distinct colours used: 71

timetaken in microseconds= 179909μs
timetaken in milliseconds= 179.909milli seconds

Assigned colours:
vertex-507 colour-18
vertex-508 colour-8
vertex-509 colour-5
vertex-510 colour-61
vertex-511 colour-10
vertex-512 colour-13
vertex-513 colour-13
vertex-514 colour-8
vertex-515 colour-12
vertex-516 colour-10
vertex-517 colour-20
vertex-518 colour-57
vertex-519 colour-6
vertex-520 colour-12
vertex-521 colour-14
vertex-522 colour-5
vertex-523 colour-59
vertex-524 colour-3
vertex-525 colour-13
vertex-526 colour-58
vertex-527 colour-10
vertex-528 colour-11
vertex-529 colour-10
vertex-530 colour-2
vertex-531 colour-2
vertex-532 colour-14
vertex-533 colour-7
vertex-534 colour-9
vertex-535 colour-48
vertex-536 colour-6
vertex-537 colour-15
vertex-538 colour-13
vertex-539 colour-9
vertex-540 colour-35
vertex-541 colour-8
vertex-542 colour-12
vertex-543 colour-12
vertex-544 colour-8
vertex-545 colour-14
vertex-546 colour-30
vertex-547 colour-16
vertex-548 colour-15
vertex-549 colour-15
vertex-550 colour-12
vertex-551 colour-32
vertex-552 colour-14
vertex-553 colour-3
vertex-554 colour-16
vertex-555 colour-34
vertex-556 colour-10
vertex-557 colour-16
vertex-558 colour-15
vertex-559 colour-9
vertex-560 colour-16
vertex-561 colour-14
vertex-562 colour-11
vertex-563 colour-7
vertex-564 colour-8
vertex-565 colour-17
vertex-566 colour-50
vertex-567 colour-37
vertex-568 colour-2
vertex-569 colour-14
vertex-570 colour-57
vertex-571 colour-50
vertex-572 colour-60
vertex-573 colour-11
vertex-574 colour-15
vertex-575 colour-12
vertex-576 colour-18
vertex-577 colour-13
vertex-578 colour-17
vertex-579 colour-19
vertex-580 colour-17
vertex-581 colour-1
vertex-582 colour-15
vertex-583 colour-41
vertex-584 colour-14
vertex-585 colour-29
vertex-586 colour-15
vertex-587 colour-31
vertex-588 colour-11
vertex-589 colour-18
vertex-590 colour-16
