fine-grained algorithm:

Number of distinct colours used: 160

timetaken in microseconds= 998432μs
timetaken in milliseconds= 998.432milli seconds

Assigned colours:
vertex-603 colour-127
vertex-604 colour-68
vertex-605 colour-30
vertex-606 colour-75
vertex-607 colour-119
vertex-608 colour-73
vertex-609 colour-77
vertex-610 colour-75
vertex-611 colour-100
vertex-612 colour-81
vertex-613 colour-116
vertex-614 colour-80
vertex-615 colour-47
vertex-616 colour-75
vertex-617 colour-76
vertex-618 colour-4
vertex-619 colour-80
vertex-620 colour-117
vertex-621 colour-85
vertex-622 colour-122
vertex-623 colour-86
vertex-624 colour-31
vertex-625 colour-122
vertex-626 colour-54
vertex-627 colour-87
vertex-628 colour-78
vertex-629 colour-122
vertex-630 colour-122
vertex-631 colour-79
vertex-632 colour-91
vertex-633 colour-49
vertex-634 colour-93
vertex-635 colour-122
vertex-636 colour-92
vertex-637 colour-119
vertex-638 colour-95
vertex-639 colour-90
vertex-640 colour-94
vertex-641 colour-127
vertex-642 colour-94
vertex-643 colour-53
vertex-644 colour-96
vertex-645 colour-116
vertex-646 colour-88
vertex-647 colour-74
vertex-648 colour-96
vertex-649 colour-99
vertex-650 colour-124
vertex-651 colour-94
vertex-652 colour-101
vertex-653 colour-86
vertex-654 colour-120
vertex-655 colour-24
vertex-656 colour-103
vertex-657 colour-115
vertex-658 colour-105
vertex-659 colour-103
vertex-660 colour-129
vertex-661 colour-93
vertex-662 colour-73
vertex-663 colour-106
vertex-664 colour-99
vertex-665 colour-126
vertex-666 colour-105
vertex-667 colour-111
vertex-668 colour-124
vertex-669 colour-25
vertex-670 colour-91
vertex-671 colour-97
vertex-672 colour-133
vertex-673 colour-28
vertex-674 colour-113
vertex-675 colour-43
vertex-676 colour-96
vertex-677 colour-135
vertex-678 colour-98
vertex-679 colour-99
vertex-680 colour-109
vertex-681 colour-110
vertex-682 colour-68
vertex-683 colour-106
vertex-684 colour-111
vertex-685 colour-107
vertex-686 colour-45
vertex-687 colour-127
vertex-688 colour-113
vertex-689 colour-117
vertex-690 colour-92
vertex-691 colour-128
vertex-692 colour-128
vertex-693 colour-108
vertex-694 colour-114
vertex-695 colour-33
vertex-696 colour-110
vertex-697 colour-118
vertex-698 colour-14
vertex-699 colour-110
vertex-700 colour-127
vertex-701 colour-118
vertex-702 colour-21
vertex-703 colour-104
vertex-704 colour-13
vertex-705 colour-102
vertex-706 colour-104
vertex-707 colour-101
vertex-708 colour-137
vertex-709 colour-120
vertex-710 colour-120
vertex-711 colour-136
vertex-712 colour-130
vertex-713 colour-112
vertex-714 colour-125
vertex-715 colour-139
vertex-716 colour-89
vertex-717 colour-34
vertex-718 colour-87
vertex-719 colour-99
vertex-720 colour-132
vertex-721 colour-114
vertex-722 colour-134
vertex-723 colour-71
vertex-724 colour-115
vertex-725 colour-86
vertex-726 colour-116
vertex-727 colour-69
vertex-728 colour-68
vertex-729 colour-140
vertex-730 colour-135
vertex-731 colour-136
vertex-732 colour-130
vertex-733 colour-128
vertex-734 colour-38
vertex-735 colour-140
vertex-736 colour-24
vertex-737 colour-125
vertex-738 colour-112
vertex-739 colour-83
vertex-740 colour-51
vertex-741 colour-119
vertex-742 colour-121
vertex-743 colour-131
vertex-744 colour-116
vertex-745 colour-106
vertex-746 colour-134
vertex-747 colour-121
vertex-748 colour-137
vertex-749 colour-29
vertex-750 colour-126
vertex-751 colour-54
vertex-752 colour-108
vertex-753 colour-80
vertex-754 colour-139
vertex-755 colour-50
vertex-756 colour-137
vertex-757 colour-130
vertex-758 colour-139
vertex-759 colour-133
vertex-760 colour-118
vertex-761 colour-63
vertex-762 colour-142
vertex-763 colour-59
vertex-764 colour-139
vertex-765 colour-92
vertex-766 colour-15
vertex-767 colour-133
vertex-768 colour-130
vertex-769 colour-56
vertex-770 colour-141
vertex-771 colour-121
vertex-772 colour-116
vertex-773 colour-148
vertex-774 colour-148
vertex-775 colour-150
vertex-776 colour-146
vertex-777 colour-143
vertex-778 colour-123
vertex-779 colour-134
vertex-780 colour-135
vertex-781 colour-141
vertex-782 colour-127
vertex-783 colour-124
vertex-784 colour-62
vertex-785 colour-145
vertex-786 colour-77
vertex-787 colour-139
vertex-788 colour-125
vertex-789 colour-150
vertex-790 colour-3
vertex-791 colour-132
vertex-792 colour-152
vertex-793 colour-123
vertex-794 colour-155
vertex-795 colour-153
vertex-796 colour-58
vertex-797 colour-156
vertex-798 colour-133
vertex-799 colour-86
